id,index,batch,question_type,question,golden_answers,gold_sf_titles,step50_prediction,step50_candidates,step50_prediction_words,step50_direct_em,step50_direct_f1,step50_processed_em,step50_processed_f1,step75_prediction,step75_candidates,step75_prediction_words,step75_direct_em,step75_direct_f1,step75_processed_em,step75_processed_f1,step100_prediction,step100_candidates,step100_prediction_words,step100_direct_em,step100_direct_f1,step100_processed_em,step100_processed_f1,step50_to_step75_transition,step50_to_step75_f1_delta,step50_to_step75_prediction_changed,step50_to_step100_transition,step50_to_step100_f1_delta,step50_to_step100_prediction_changed,step75_to_step100_transition,step75_to_step100_f1_delta,step75_to_step100_prediction_changed,correctness_pattern_50_75_100
dev_3829,10,1,what,What is the owner of Straight Blast Gym Ireland's birthday?,"January 18, 1977",Straight Blast Gym - Ireland | John Kavanagh (martial artist),"June 5, 1972.","June 5, 1972 | 1972-06-05 | 1972.06.05 | Jun 5, 1972",3,0.0,0.0,0.0,0.0,"June 5, 1972.","June 5, 1972 | 1972-06-05 | 1972.06.05 | Jun 5, 1972",3,0.0,0.0,0.0,0.0,"June 5, 1972.","June 5, 1972 | 1972-06-05 | 1972.06.05 | Jun 5, 1972",3,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_57,11,1,who,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,Keith Bostic (American football) | Jerry Glanville,Keith Bostic.,,2,1.0,1.0,1.0,1.0,Jerry Glanville.,Jerry Glanville,2,0.0,0.0,0.0,0.0,Keith Bostic.,,2,1.0,1.0,1.0,1.0,loss,-1.0,1,both_correct,0.0,0,win,1.0,1,101
dev_1706,12,1,yes/no,Are Prológica CP-400 and Atari ST both personal computers?,yes,Prológica CP-400 | Atari ST | Atari ST,Yes.,,1,1.0,1.0,1.0,1.0,Yes.,,1,1.0,1.0,1.0,1.0,Yes.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_6662,13,1,numeric,How many cards can a player choose from to be part of their hand in the card game that was the culmination game of the United States Poker Championship?,seven,The United States Poker Championship | Texas hold 'em,2.,2,1,0.0,0.0,0.0,0.0,2.,2 | two,1,0.0,0.0,0.0,0.0,2.,2 | Two,1,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_7140,14,1,what,"What aviator participated to the Transatlantic flight organized by the ""heir apparent"" to Italian dictator Benito Mussolini?",Antonio Lippi,Antonio Lippi | Antonio Lippi | Italo Balbo,Italo Balbo.,Italo Balbo,2,0.0,0.0,0.0,0.0,"The question is based on a misunderstanding or incorrect premise, as there was no Transatlantic flight organized by the ""heir apparent"" to Italian dictator Benito Mussolini. Therefore, no aviator participated in such a flight.",None | No aviator participated,34,0.0,0.0,0.0,0.0,Bertoldo Toschi.,Bertoldo Toschi,2,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_6073,15,1,what,What is the name of this French former footballer whom football fans refer the football player Wilfred Bamnjo to as?,Makélélé,Wilfred Bamnjo | Wilfred Bamnjo | Claude Makélélé,Claude Makélélé.,Claude Makélélé,2,0.0,0.6666666666666666,0.0,0.6666666666666666,Marc-Étienne Kimpé Makélélé.,Marc-Étienne Kimpé Makélélé | Makélélé,4,0.0,0.5,1.0,1.0,Thierry Henry.,Thierry Henry,2,0.0,0.0,0.0,0.0,win,0.33333333333333337,1,both_wrong,-0.6666666666666666,1,loss,-1.0,1,010
dev_3645,16,2,other,The State Theatre is part of a performing arts centre located in what Australian suburb?,Southbank,State Theatre (Melbourne) | Arts Centre Melbourne,Martin Place.,Martin Place,2,0.0,0.0,0.0,0.0,Martin Place.,Martin Place,2,0.0,0.0,0.0,0.0,Sydney.,Sydney,1,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_7286,17,2,other,In which city were the olympic games held in which Willi Meurer competed in the individual and team road race events?,"Berlin, Germany",Willi Meurer | 1936 Summer Olympics,Berlin.,Berlin,1,0.0,0.6666666666666666,0.0,0.6666666666666666,Athens.,Athens,1,0.0,0.0,0.0,0.0,Athens.,Athens,1,0.0,0.0,0.0,0.0,both_wrong,-0.6666666666666666,1,both_wrong,-0.6666666666666666,1,both_wrong,0.0,0,000
dev_4739,18,2,other,"Vices and Virtues, coincidentally released just four days after ""Vices & Virtues"" by Las Vegas band Panic! at the Disco, was the second studio album by which Canadian rock band?",Art of Dying,Vices and Virtues (Art of Dying album) | Vices and Virtues (Art of Dying album) | Panic! at the Disco,Metric.,Metric,1,0.0,0.0,0.0,0.0,Arkells.,Arkells,1,0.0,0.0,0.0,0.0,Kick Axe.,Kick Axe,2,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_1030,19,2,what,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",Love Drunk,Love Drunk | Two Is Better Than One,Love Drunk.,,2,1.0,1.0,1.0,1.0,Love Story.,Love Drunk,2,0.0,0.5,1.0,1.0,Love Drunk.,,2,1.0,1.0,1.0,1.0,both_correct,0.0,1,both_correct,0.0,0,both_correct,0.0,1,111
dev_5200,20,2,other,During what race leading up to the 1994 Monaco Grand Prix was Roland Ratzenberger killed?,San Marino Grand Prix,1994 Monaco Grand Prix | Roland Ratzenberger,1994 San Marino Grand Prix.,1994 San Marino Grand Prix,5,0.0,0.888888888888889,0.0,0.888888888888889,1994 San Marino Grand Prix.,1994 San Marino Grand Prix | San Marino GP 1994 | San Marino Grand Prix 1994,5,0.0,0.888888888888889,0.0,0.888888888888889,San Marino Grand Prix.,,4,1.0,1.0,1.0,1.0,both_wrong,0.0,0,win,0.11111111111111105,1,win,0.11111111111111105,1,001
dev_6144,21,2,other,"In which language is the notable song by Suresh Peters from ""Gentleman ""?",Tamil,Suresh Peters | Chikku Bukku Rayile,Telugu.,Telugu,1,0.0,0.0,0.0,0.0,Tamil.,,1,1.0,1.0,1.0,1.0,Telugu.,Telugu,1,0.0,0.0,0.0,0.0,win,1.0,1,both_wrong,0.0,0,loss,-1.0,1,010
dev_1409,22,2,what,What country of origin does André Holland and 42 have in common?,American,André Holland | 42 (film),United States.,United States | U.S. | US | USA | United States of America,2,0.0,0.0,0.0,0.0,United States.,United States,2,0.0,0.0,0.0,0.0,United States.,United States | US | USA,2,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_6665,23,2,other,"In what category did the composer of ""Elliot, a Soldier's Fugue"" win a Tony Award in 2008?",for Best Musical,Water by the Spoonful | Quiara Alegría Hudes,Best Book of a Musical.,Best Book of a Musical,5,0.0,0.5714285714285715,0.0,0.5714285714285715,Best Book of a Musical.,Best Book of a Musical,5,0.0,0.5714285714285715,0.0,0.5714285714285715,Best Original Score.,Best Original Score,3,0.0,0.3333333333333333,0.0,0.3333333333333333,both_wrong,0.0,0,both_wrong,-0.2380952380952382,1,both_wrong,-0.2380952380952382,1,000
dev_1954,24,2,other,Horse the blind is known for nintendocore which emerged from hardcore punk and what genre?,heavy metal,Horse the Band | Nintendocore,Hardcore punk.,Hardcore punk,2,0.0,0.0,0.0,0.0,hardcore punk.,hardcore punk,2,0.0,0.0,0.0,0.0,hardcore punk.,hardcore punk,2,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,0,000
dev_3197,25,2,other,In what state is the manufacturer of Bisquick headquartered?,Minnesota,Bisquick | General Mills | General Mills,Minnesota.,,1,1.0,1.0,1.0,1.0,Minnesota.,,1,1.0,1.0,1.0,1.0,Michigan.,Michigan,1,0.0,0.0,0.0,0.0,both_correct,0.0,0,loss,-1.0,1,loss,-1.0,1,110
dev_4937,26,2,when/year,"When was the American film, television and theater actress born who was a star in the film the Matchmaker and also received the 40th AFI Life Achievement Award?","April 24, 1934",The Matchmaker (1958 film) | The Matchmaker (1958 film) | Shirley MacLaine | Shirley MacLaine,"April 24, 1934.",,3,1.0,1.0,1.0,1.0,"April 24, 1934.",,3,1.0,1.0,1.0,1.0,"April 24, 1934.",,3,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_770,27,2,other,Peter Dhao created a websiteto reflect worldwide views. What was the slogan of the site he created ?,media for the 65.8 million,Peter Daou | Verrit,People Powered Media.,People Powered Media,3,0.0,0.28571428571428575,0.0,0.28571428571428575,"Local voices, global conversation.","Local voices, global conversation",4,0.0,0.0,0.0,0.0,People Powered News.,People Powered News,3,0.0,0.0,0.0,0.0,both_wrong,-0.28571428571428575,1,both_wrong,-0.28571428571428575,1,both_wrong,0.0,1,000
dev_4900,28,2,other,Spider9 was founded in 2011 by the head of which subsidiary of Wanxiang Group?,"A123 Systems, LLC",Spider9 | A123 Systems,A123 Systems.,A123 Systems,2,0.0,0.8,0.0,0.8,A123 Systems.,A123 Systems,2,0.0,0.8,0.0,0.8,Wanxiang Automotive.,Wanxiang Automotive,2,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,-0.8,1,both_wrong,-0.8,1,000
dev_4572,29,2,when/year,When was the New Orleans Pelicans player featured on the NBA 2K16 cover first drafted?,2012,NBA 2K16 | Anthony Davis (basketball) | Anthony Davis (basketball),2012.,,1,1.0,1.0,1.0,1.0,"June 28, 2012.","June 28, 2012 | 2012-06-28 | 2012.06.28 | Jun 28, 2012",3,0.0,0.5,0.0,0.5,"June 28, 2012.","June 28, 2012 | 2012-06-28 | 2012.06.28 | Jun 28, 2012",3,0.0,0.5,0.0,0.5,loss,-0.5,1,loss,-0.5,1,both_wrong,0.0,0,100
dev_3021,30,2,other,The Russian route M9 forms a part of what European route that has a length of about 5320 km?,European route E 22,M9 highway (Russia) | European route E22 | European route E22,E22.,E22,1,0.0,0.0,0.0,0.0,E22.,E22,1,0.0,0.0,0.0,0.0,E22.,E22,1,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_2349,31,2,what,What Nickelodeon movie stars the actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler:The Wizard?,Terry the Tomboy,American Wrestler: The Wizard | Lia Marie Johnson | Lia Marie Johnson | Lia Marie Johnson,Sugar & Spice.,Sugar & Spice,2,0.0,0.0,0.0,0.0,Brainstorm.,Brainstorm,1,0.0,0.0,0.0,0.0,Sammy & Juliano.,Sammy & Juliano,2,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_4024,32,3,other,Oscar is what type of animal with black fur that may be a mixed or specific breed?,black cat,Oscar (bionic cat) | Black cat,wolf.,wolf,1,0.0,0.0,0.0,0.0,cat.,cat,1,0.0,0.6666666666666666,0.0,0.6666666666666666,cat.,cat,1,0.0,0.6666666666666666,0.0,0.6666666666666666,both_wrong,0.6666666666666666,1,both_wrong,0.6666666666666666,1,both_wrong,0.0,0,000
dev_72,33,3,what,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange,Oranjegekte | Koningsdag,Orange.,,1,1.0,1.0,1.0,1.0,orange.,,1,1.0,1.0,1.0,1.0,Orange.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,1,both_correct,0.0,0,both_correct,0.0,1,111
dev_4259,34,3,other,"Queen Elizabeth Grammar School, Wakefield is a type of secondary school that caters to children of what age cohort?",between 11 or 13 and 18,"Queen Elizabeth Grammar School, Wakefield | Public school (United Kingdom)",11 to 18.,11 to 18 | 11-18 | 11 through 18,3,0.0,0.4444444444444444,0.0,0.4444444444444444,11 to 18.,11 to 18 | 11-18 | 11 through 18,3,0.0,0.4444444444444444,0.0,0.4444444444444444,11 to 18.,11 to 18 | 11-18 | 11 through 18,3,0.0,0.4444444444444444,0.0,0.4444444444444444,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_5676,35,3,what,"What profession does Alex Beard and Tony Hall, Baron Hall of Birkenhead have in common?",director,"Alex Beard (arts manager) | Tony Hall, Baron Hall of Birkenhead",artist.,artist,1,0.0,0.0,0.0,0.0,artist.,artist,1,0.0,0.0,0.0,0.0,artist.,artist,1,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_4783,36,3,other,Alhambra and Tsuro are both examples of what type of game?,tile-based board game,Alhambra (board game) | Tsuro,board game.,board game,2,0.0,0.8,0.0,0.8,tile-based board game.,,4,1.0,1.0,1.0,1.0,board game.,board game,2,0.0,0.8,0.0,0.8,win,0.19999999999999996,1,both_wrong,0.0,0,loss,-0.19999999999999996,1,010
dev_7237,37,3,when/year,When was the host of the Los Angeles talk radio program Religion on the Line born?,"August 2, 1948",Religion on the Line | Religion on the Line | Dennis Prager,"March 16, 1955.","March 16, 1955 | 1955-03-16 | 1955.03.16 | Mar 16, 1955",3,0.0,0.0,0.0,0.0,"March 16, 1955.","March 16, 1955 | 1955-03-16 | 1955.03.16 | Mar 16, 1955",3,0.0,0.0,0.0,0.0,"March 16, 1955.","March 16, 1955 | 1955-03-16 | 1955.03.16 | Mar 16, 1955",3,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_2177,38,3,what,"What abbey, founded in 598, was Clarembald a monk at?",St Augustine's Abbey,Clarembald | St Augustine's Abbey,Saint Augustine's Abbey.,Saint Augustine's Abbey | St. Augustine's Abbey | St Augustine's Abbey,4,0.0,0.6666666666666666,1.0,1.0,Saint Gall Abbey.,Saint Gall Abbey | St. Gall Abbey | St Gall Abbey,3,0.0,0.3333333333333333,0.0,0.6666666666666666,Saint Gall Abbey.,Saint Gall Abbey | St. Gall Abbey | St Gall Abbey,3,0.0,0.3333333333333333,0.0,0.6666666666666666,loss,-0.33333333333333337,1,loss,-0.33333333333333337,1,both_wrong,0.0,0,100
dev_1394,39,3,who,Who was the producer of the 1994 American animated epic musical film which Mel Shaw animated?,Don Hahn,Mel Shaw | The Lion King,Roy O. Disney.,Roy O. Disney | Roy Disney,3,0.0,0.0,0.0,0.0,Roy E. Disney and Jeffrey Katzenberg.,"Roy E. Disney and Jeffrey Katzenberg | Roy Disney and Jeffrey Katzenberg | Roy E. Disney, Jeffrey Katzenberg",6,0.0,0.0,0.0,0.0,Roy O. Disney.,Roy O. Disney | Roy Disney,3,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,0,both_wrong,0.0,1,000
dev_677,40,3,where,Where was the armory at which Model 1840 flintlock musket was produced located? ,"city of Springfield, Massachusetts",Springfield Model 1840 flintlock musket | Springfield Armory,"Springfield, Massachusetts.","Springfield, Massachusetts | Springfield MA | Springfield",2,0.0,0.6666666666666666,0.0,0.6666666666666666,"Springfield, Massachusetts.","Springfield, Massachusetts | Springfield MA | Springfield",2,0.0,0.6666666666666666,0.0,0.6666666666666666,Springfield and Harper's Ferry.,Springfield | Harper's Ferry,5,0.0,0.25,0.0,0.4,both_wrong,0.0,0,both_wrong,-0.2666666666666666,1,both_wrong,-0.2666666666666666,1,000
dev_1326,41,3,what,"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?",Philosophy professor,Oeuf (Hannibal) | Hugh Dancy,philosophy professor.,,2,1.0,1.0,1.0,1.0,philosophy professor.,,2,1.0,1.0,1.0,1.0,philosophy professor.,,2,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_3254,42,3,what,What Congressional District did John Shimkus represent before the 20th Congressional District of Illinois?,Illinois 's 15 congressional district,Illinois's 20th congressional district | Illinois's 20th congressional district | Illinois's 20th congressional district | John Shimkus,Illinois's 19th congressional district.,Illinois's 19th congressional district | Illinois 19th district | 19th District of Illinois | 19th Congressional District of Illinois,5,0.0,0.4444444444444445,0.0,0.6,Illinois's 19th congressional district.,Illinois's 19th congressional district | IL-19 | Illinois 19th District | 19th District of Illinois,5,0.0,0.4444444444444445,0.0,0.5,Illinois's 19th congressional district.,Illinois's 19th congressional district | IL-19 | 19th District of Illinois,5,0.0,0.4444444444444445,0.0,0.4444444444444445,both_wrong,-0.09999999999999998,0,both_wrong,-0.1555555555555555,0,both_wrong,-0.055555555555555525,0,000
dev_3442,43,3,what,What is the birthday of the oldest among Vicente García and Ximena Sariñana?,"March 30, 1983",Vicente García (musician) | Ximena Sariñana,"April 5, 1817.","April 5, 1817 | 1817-04-05 | 1817.04.05 | Apr 5, 1817",3,0.0,0.0,0.0,0.0,"April 5, 1817.","April 5, 1817 | 1817-04-05 | 1817.04.05 | Apr 5, 1817",3,0.0,0.0,0.0,0.0,"April 5, 1817.","April 5, 1817 | 1817-04-05 | 1817.04.05 | Apr 5, 1817",3,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_98,44,3,other,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,Moroccan Ambassador to China | Rabat | Rabat,Rabat.,Rabat,1,0.0,0.0,0.0,0.0,Rabat.,Rabat,1,0.0,0.0,0.0,0.0,Rabat.,Rabat,1,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_4880,45,3,other,"The Experts stars what actor known for ""Saturday Night Fever"" and ""Grease""?",John Travolta,The Experts (1989 film) | John Travolta,John Travolta.,,2,1.0,1.0,1.0,1.0,John Travolta.,,2,1.0,1.0,1.0,1.0,John Travolta.,,2,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_1540,46,3,what,What type of veterinary specialist is the star veterinarian of The Bionic Vet?,neuro-orthopaedic,The Bionic Vet | Noel Fitzpatrick,Veterinary surgeon.,Veterinary surgeon,2,0.0,0.0,0.0,0.0,Orthopedic surgeon.,Orthopedic surgeon,2,0.0,0.0,0.0,0.0,veterinary surgeon.,veterinary surgeon,2,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_4915,47,3,other,Codex Escalada shows an apparition to the saint that is a native of which country?,Mexico,Codex Escalada | Juan Diego,Mexico.,,1,1.0,1.0,1.0,1.0,Mexico.,,1,1.0,1.0,1.0,1.0,Mexico.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_6787,48,4,other,"Often seen at the Academy Awards pre-show, what is Robin Roberts's occupation?",American television broadcaster,Academy Awards pre-show | Robin Roberts (newscaster),ewscaster.,ews caster | ews caster | Robin Roberts is an ews caster,1,0.0,0.0,0.0,0.0,ewscaster.,News Anchor | Newscaster | TV News Anchor | TV Newscaster,1,0.0,0.0,0.0,0.0,ewscaster.,News Anchor | News Host | Broadcaster | TV Journalist,1,0.0,0.0,0.0,0.5,both_wrong,0.0,0,both_wrong,0.5,0,both_wrong,0.5,0,000
dev_2735,49,4,other,Both José Aponte de la Torre Airport and Boulder City Municipal Airport are classified as what type of airport?,public use airport,José Aponte de la Torre Airport | Boulder City Municipal Airport,public use airport.,,3,1.0,1.0,1.0,1.0,public use.,public use,2,0.0,0.8,0.0,0.8,public use airport.,,3,1.0,1.0,1.0,1.0,loss,-0.19999999999999996,1,both_correct,0.0,0,win,0.19999999999999996,1,101
dev_4321,50,4,what,What nationality is the director of the 1971 film Wake in Fright?,Velichko Todorov Tsochev) is a Bulgarian-Canadian,Ted Kotcheff | Wake in Fright,Bulgarian-Canadian.,Bulgarian-Canadian | Bulgarian Canadian,2,0.0,0.33333333333333337,0.0,0.33333333333333337,Bulgarian-Canadian.,Bulgarian-Canadian,2,0.0,0.33333333333333337,0.0,0.33333333333333337,Bulgarian-Canadian.,Bulgarian-Canadian,2,0.0,0.33333333333333337,0.0,0.33333333333333337,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_35,51,4,other,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,Socialist Revolutionary Party | Russian Civil War,1923.,"1923 | 1923-01-01 | 1923.01.01 | January 1, 1923",1,0.0,0.0,0.0,0.0,1923.,"1923 | 1923-01-01 | 1923.01.01 | Jan 1, 1923",1,0.0,0.0,0.0,0.0,the establishment of the Soviet Union in 1922.,"1922 | 1922-12-30 | Dec 30, 1922 | December 30th, 1922",8,0.0,0.25,0.0,0.6666666666666666,both_wrong,0.0,0,both_wrong,0.6666666666666666,1,both_wrong,0.6666666666666666,1,000
dev_2322,52,4,which,Which work of William Shakespeare is thought to be a collaborative effort of himself and Thomas Kyd?,Edward III,Complete Works of Shakespeare | Complete Works of Shakespeare | Edward III (play) | Edward III (play) | Edward III (play),The Spanish Tragedy.,The Spanish Tragedy,3,0.0,0.0,0.0,0.0,The Spanish Tragedy.,The Spanish Tragedy,3,0.0,0.0,0.0,0.0,The Spanish Tragedy.,The Spanish Tragedy,3,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
dev_4114,53,4,when/year,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1959,Blackadder's Christmas Carol | Hugh Laurie,1959.,,1,1.0,1.0,1.0,1.0,1957.,1957,1,0.0,0.0,0.0,0.0,1959.,,1,1.0,1.0,1.0,1.0,loss,-1.0,1,both_correct,0.0,0,win,1.0,1,101
dev_406,54,4,which,"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.",Dime Magazine | Gallery (magazine),Dime Magazine.,Dime Magazine,2,0.0,0.22222222222222224,0.0,0.22222222222222224,Dime Magazine.,Dime Magazine,2,0.0,0.22222222222222224,0.0,0.22222222222222224,Dime Magazine.,Dime Magazine,2,0.0,0.22222222222222224,0.0,0.22222222222222224,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
